"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"167","#KPWWW HQ will now be open from 12p-8p tomorrow through Friday! Come by for exclusive merch &amp; fun surprises! -TeamKP https://t.co/fcTEs3qMd9",FALSE,5007,NA,2017-06-15 05:17:42,FALSE,NA,"875220749056786433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",984,FALSE,FALSE,NA,NA
"168","RT @andynishan: Thank you @katyperry for being vulnerable and letting us #WITNESS you. <U+2764><U+FE0F> #KPWWW  #intomeyousee  https://t.co/YsO4oSmUPm ht…",FALSE,0,NA,2017-06-15 01:05:43,FALSE,NA,"875157336343552000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",421,TRUE,FALSE,NA,NA
"169","RT @viva_la_eva_: @katyperry I tried to draw Nugget in your autograph book thing #KPWWW https://t.co/g09ZH6wnoy",FALSE,0,NA,2017-06-15 00:45:02,FALSE,NA,"875152133221343233",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",387,TRUE,FALSE,NA,NA
"170","RT @michaelantny: Still waiting for a cut ms. @katyperry! #kpwww #witness https://t.co/DmXosgj8SB",FALSE,0,NA,2017-06-15 00:40:10,FALSE,NA,"875150907230502912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",301,TRUE,FALSE,NA,NA
"171","RT @melisfoulks: Just spent all my moneys at the @katyperry #KPWWW HQ pop up shop &amp; I ain't sorry. Anything for my girl! #WITNESS <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https:/…",FALSE,0,NA,2017-06-15 00:38:50,FALSE,NA,"875150571459575808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",429,TRUE,FALSE,NA,NA
"172","RT @evrenperry: I was about to save this as a draft but hit tweet instead <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+200D><U+2642><U+FE0F> OBSESSED with the merch! #KPWWW @katyperry https://t.co/ewW…",FALSE,0,NA,2017-06-15 00:23:18,FALSE,NA,"875146661726531584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",302,TRUE,FALSE,NA,NA
"173","RT @idkISAAC: No wonder @katyperry slept so well!! #kpwww #Witness https://t.co/IfHLzazzrP",FALSE,0,NA,2017-06-15 00:21:59,FALSE,NA,"875146330489761792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",318,TRUE,FALSE,NA,NA
"174","If you had to pick one which would you rather:",FALSE,6959,NA,2017-06-14 23:47:53,FALSE,NA,"875137748134281216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","katyperry",2251,FALSE,FALSE,NA,NA
"175","RT @soniaaperry: @katyperry the merch is looking LIT <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #KPWWW https://t.co/39Z8yuqePt",FALSE,0,NA,2017-06-14 23:13:27,FALSE,NA,"875129086338662400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",299,TRUE,FALSE,NA,NA
"176","RT @Jes00sica: @katyperry #KPWWW since @carlythekatycat and @RegannEliz are out of town and @ShannonFlynn2 is in NY- this ones for you girl…",FALSE,0,NA,2017-06-14 22:51:40,FALSE,NA,"875123600713408512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",298,TRUE,FALSE,NA,NA
"177","RT @JordynRTorres: #KPWWW Polaroid project is growin @katyperry <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> https://t.co/zrLaR08s1P",FALSE,0,NA,2017-06-14 22:35:24,FALSE,NA,"875119508813262848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",431,TRUE,FALSE,NA,NA
"178","RT @Krystan_Brooks: Nothing but net here at @katyperry pop up store. Great merch to WITNESS!! Come play with us #swishswish  #kpwww https:/…",FALSE,0,NA,2017-06-14 22:34:35,FALSE,NA,"875119305297350656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",469,TRUE,FALSE,NA,NA
"179","Want to #WITNESS more? The @Target edition comes w/ two bonus tracks: ""Dance With The Devil"" &amp; ""Act My Age""… https://t.co/n1tfHNI7HA",FALSE,5444,NA,2017-06-14 22:00:42,TRUE,NA,"875110775093735424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katyperry",1352,FALSE,FALSE,NA,NA
